title,binding,our_price,isbn13,competitor_price,used_price,new_price,rental_price,marketplace_price,pricing_action,adjusted_price,profit
Are We Smart Enough to Know How Smart Animals Are?,BOOK,56.58,9780393353662,10.5,,,,10.5,reduce_price,9.97,-46.61
And Then There Were None,BOOK,35.01,9780573616396,20.0,,,,20.0,reduce_price,19.0,-16.01
A Visit from the Goon Squad,BOOK,14.08,9780307592835,5.31,,,,5.31,reduce_price,5.04,-9.04
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",BOOK,54.81,9781401285067,1.54,,,,1.54,reduce_price,1.46,-53.35
When I'm Gone,BOOK,51.96,9781695914407,9.05,9.05,,,,reduce_price,8.6,-43.36
Twenty Love Poems and a Song of Despair,BOOK,30.95,9780140186482,1.43,,,,1.43,reduce_price,1.36,-29.59
Travels with Charley: In Search of America,BOOK,57.82,9780140053203,0.96,,,,0.96,reduce_price,0.91,-56.91
Travels with Charley: In Search of America,BOOK,57.82,9780140187410,4.99,,,,4.99,reduce_price,4.74,-53.08
The Story of Hong Gildong,BOOK,43.19,9780143107699,4.46,5.27,,,4.46,reduce_price,4.24,-38.95
The Selfish Gene,BOOK,29.45,9780198788607,6.73,,,,6.73,reduce_price,6.39,-23.06
The Secret Healer,BOOK,34.56,9781503953864,4.74,4.74,,,,reduce_price,4.5,-30.06
The Little Prince,BOOK,45.42,9780156012195,0.94,,,,0.94,reduce_price,0.89,-44.53
The Communist Manifesto,BOOK,14.76,9780671678814,2.33,,,,2.33,reduce_price,2.21,-12.55
The Bhagavad Gita,BOOK,57.49,9781586380199,2.0,7.45,,,2.0,reduce_price,1.9,-55.59
Lost Among the Living,BOOK,27.7,9780451476197,4.43,4.43,,,6.38,reduce_price,4.21,-23.49
Lord of the Flies,BOOK,24.89,9780399529207,40.21,,,,40.21,increase_price,38.2,13.31
Kitchens of the Great Midwest,BOOK,57.2,9780525429142,14.5,,,,14.5,reduce_price,13.77,-43.43
Jane Eyre,BOOK,38.43,9780141441146,4.95,4.95,,,6.5,reduce_price,4.7,-33.73
Frankenstein,BOOK,38.0,9780486282114,1.63,1.63,,,5.4,reduce_price,1.55,-36.45
"Eat, Pray, Love",BOOK,51.32,9780143118428,6.49,,,,6.49,reduce_price,6.17,-45.15
Charlie and the Chocolate Factory (Charlie Bucket #1),BOOK,22.85,9780143106333,3.23,,,,3.23,reduce_price,3.07,-19.78
Bright Lines,BOOK,39.07,9780143123132,6.13,,,,6.13,reduce_price,5.82,-33.25
Bright Lines,BOOK,39.07,9781401952532,1.28,,,,1.28,reduce_price,1.22,-37.85
Bridget Jones's Diary (Bridget Jones #1),BOOK,29.82,9780140280098,6.49,,,,6.49,reduce_price,6.17,-23.65
Beyond Good and Evil,BOOK,43.38,9780140449235,3.32,,,,3.32,reduce_price,3.15,-40.23
"1,000 Places to See Before You Die",BOOK,26.08,9780761156864,1.57,,,,1.57,reduce_price,1.49,-24.59
